Peak #,X,Y
1,8.358626020749497,6.364555300095872
2,22.946402828588738,6.364555300431026
3,36.62675552729649,8.364555300684714
4,48.871789913073286,8.364555264145281
5,83.68682242814886,8.363709168476188
6,95.8494043890191,6.335944078378703
7,110.90597763945779,6.010126013542329
8,122.58880510351212,5.756324826351117
9,138.9342722889938,3.7037570749190305
10,155.4721957638503,4.930842790084569
11,169.63751279482486,7.916370760943706
12,185.5837395292325,9.278973582270057
13,197.51445825010586,8.374540270344381
14,212.04758133846425,7.399272423151716
15,227.0896316914073,6.629126311719149
16,241.99633372897742,7.3982579724262765
17,257.75611076857666,7.367587265246233
18,271.4302908817681,7.359235646716634
19,285.6104946243018,6.1155441066232665
20,301.46758033918036,6.931054105021343
21,315.69682630392066,5.8517938360697945
22,332.8706022790707,4.8990158283992065
23,347.7533218813281,6.152026794591805
24,361.9278322194911,7.491754367975167
25,374.58547038073954,6.470267134464995
26,390.470078176929,8.552341475161978
27,406.41111945112823,8.096013376228349
28,419.7800841120453,9.565024426116866
29,433.14600308173067,7.095976377472244
30,450.07524059050417,8.530083306182881
31,462.95307673933945,7.3794512534930075
32,477.8501351882043,7.369019604849917
33,493.7878518562121,8.383618498267268
34,511.1318054038943,6.505141420273388
35,547.2397225678377,7.58469637610994
36,565.8734705534455,8.826734802974368
37,580.936234574394,8.757107082587131
38,598.0886559096649,9.078428798179418
39,612.4624492779652,9.67193880224334
40,625.7495145562403,8.997544942914942
41,639.061905322354,9.728640112257368
42,653.7637987416591,8.58286514846001
43,669.0186309007718,6.333662965534218
44,685.1778133790266,6.999567138532445
45,698.0065741430624,6.7359489253307165
46,715.3682358468446,5.678806801273572
47,731.8644291767694,5.75157339091054
48,745.6561457917005,7.056511134934208
49,761.2833110710974,6.347551988867995
50,786.3274381403696,6.3645309322394255
51,802.5405900019264,7.364556153063699
52,818.3243089874303,8.36456647057854
53,833.3360932287795,8.364606153627555
54,849.1198025940505,7.364648778317911
55,864.3330666650221,7.364655177933639
56,889.4310838450848,8.364606203750714
57,903.6442793899522,7.364569374591336
58,919.4222850676442,6.364633222380238
59,936.2989331883304,8.365407046103293
60,950.1756348996304,6.368174782228651
61,964.9505143440589,6.368228612312975
62,982.1467087312992,6.337808114313251
63,1006.255121833386,6.212809638034862
64,7.36095902853813,23.094565027067844
65,22.004346373651483,23.12343933448501
66,36.097353127341286,22.45637799981966
67,48.92632571083599,24.719227155775396
68,66.28092186068108,23.773762900278033
69,81.63006870582801,24.719224076710297
70,95.32253272103333,21.45627947860294
71,108.38283253360255,21.122230774474406
72,122.53031637658061,23.09010503223368
73,158.1381253254116,23.549215011761433
74,172.67334195036798,23.153257516760014
75,187.00338801420622,25.575755200788088
76,198.58874513077205,26.135548613555454
77,210.22041438428073,25.28806265118631
78,226.1224472131843,22.21639775471465
